position,team,matches,wins,draws,losses,points
1.,Hercules-Neting Team,28,27,1,0,55
2.,SZUFLA SE I.-Kerepes,28,20,4,4,44
3.,Pénzügyőr SE VII.,28,20,3,5,43
4.,BVSC-Zugló SI IV.,28,20,0,8,40
5.,Budai XI. SE II.,28,17,2,9,36
6.,KSI SE IV.,28,16,2,10,34
7.,KSI SE V.,28,12,6,10,30
8.,Honvéd Zrínyi SE I.,28,12,4,12,28
9.,MAFC II.,28,11,5,12,27
10.,SZUFLA SE II.,28,11,4,13,26
11.,ABC Centerline I.,28,9,0,19,18
12.,BVSC-Zugló Senior I.,28,7,2,19,16
13.,KSI Senior-KÖZGÁZ SC és DSK,28,6,1,21,12
14.,Erzsébeti Hajós II.,28,5,0,23,9
15.,ANY Biztonsági SK I.,28,0,0,28,0
16.,BP I/B X,0,0,0,0,0
