match_id,home_team,away_team,score
9256,SZUFLA SE II. ↔,KSI SE V.,8 : 8
8965,BVSC-Zugló Senior I. ↔,BVSC-Zugló SI IV.,4 : 12
8718,BVSC-Zugló Senior I. ↔,Pénzügyőr SE VII.,2 : 14
8720,BVSC-Zugló SI IV. ↔,ANY Biztonsági SK I.,14 : 2
8703,SZUFLA SE I.-Kerepes ↔,SZUFLA SE II.,10 : 6
8704,BVSC-Zugló Senior I. ↔,Budai XI. SE II.,3 : 13
8706,ABC Centerline I. ↔,Pénzügyőr SE VII.,3 : 13
8700,Honvéd Zrínyi SE I. ↔,BVSC-Zugló SI IV.,10 : 6
8705,KSI SE IV. ↔,KSI SE V.,11 : 5
8701,KSI Senior-KÖZGÁZ SC és DSK ↔,ANY Biztonsági SK I.,10 : 6
8702,Erzsébeti Hajós II. ↔,Hercules-Neting Team,1 : 15
8713,BVSC-Zugló SI IV. ↔,ABC Centerline I.,11 : 5
8714,Honvéd Zrínyi SE I. ↔,Hercules-Neting Team,6 : 10
8707,Pénzügyőr SE VII. ↔,KSI SE IV.,6 : 10
8712,ANY Biztonsági SK I. ↔,Honvéd Zrínyi SE I.,5 : 11
8709,Budai XI. SE II. ↔,SZUFLA SE I.-Kerepes,4 : 12
8964,BVSC-Zugló SI IV. ↔,Hercules-Neting Team,5 : 11
8708,KSI SE V. ↔,BVSC-Zugló Senior I.,9 : 7
8969,KSI SE V. ↔,KSI Senior-KÖZGÁZ SC és DSK,4 : 0
8710,SZUFLA SE II. ↔,MAFC II.,10 : 6
8711,Hercules-Neting Team ↔,KSI Senior-KÖZGÁZ SC és DSK,14 : 2
8717,SZUFLA SE I.-Kerepes ↔,KSI SE V.,8 : 8
8716,MAFC II. ↔,Budai XI. SE II.,8 : 8
8719,KSI SE IV. ↔,ABC Centerline I.,9 : 7
8715,Erzsébeti Hajós II. ↔,SZUFLA SE II.,4 : 12
