match_id,home_team,away_team,score
9688,BVSC-Zugló SI V. ↔,BVSC-Zugló Senior II.,9 : 7
9391,Pestújhelyi SC III. ↔,Kispest SE II.,5 : 11
9392,BKV Előre SC I. ↔,BKV Előre SC II.,4 : 12
9389,BVSC-Zugló Senior II. ↔,Honvéd Zrínyi SE II.,15 : 1
9387,Belvárosi Asztalitenisz Egyesület ↔,Pénzügyőr SE VIII.,10 : 6
9390,Budai XI SE III.-túróSCsusza ↔,ESMTK I.,14 : 2
9394,MTK II. ↔,BVSC-Zugló SI V.,11 : 5
9393,OTP SK I. ↔,2002 Római ASE,9 : 7
9388,Vármajori SE II. ↔,Törekvés SE,1 : 15
9621,BKV Előre SC II. ↔,OTP SK I.,8 : 8
9623,ESMTK I. ↔,Pestújhelyi SC III.,9 : 7
9719,2002 Római ASE ↔,MTK II.,10 : 6
9627,BVSC-Zugló SI V. ↔,Belvárosi Asztalitenisz Egyesület,11 : 5
9622,Kispest SE II. ↔,BKV Előre SC I.,11 : 5
9626,Pénzügyőr SE VIII. ↔,Vármajori SE II.,7 : 9
9624,Honvéd Zrínyi SE II. ↔,Budai XI SE III.-túróSCsusza,5 : 11
9625,Törekvés SE ↔,BVSC-Zugló Senior II.,11 : 5
9629,Budai XI SE III.-túróSCsusza ↔,Törekvés SE,11 : 5
9628,BVSC-Zugló Senior II. ↔,Pénzügyőr SE VIII.,7 : 9
9630,Pestújhelyi SC III. ↔,Honvéd Zrínyi SE II.,13 : 3
9631,BKV Előre SC I. ↔,ESMTK I.,10 : 6
9633,BVSC-Zugló SI V. ↔,2002 Római ASE,12 : 4
9720,MTK II. ↔,BKV Előre SC II.,8 : 8
9634,Vármajori SE II. ↔,Belvárosi Asztalitenisz Egyesület,8 : 8
9636,BKV Előre SC II. ↔,BVSC-Zugló SI V.,4 : 12
9637,ESMTK I. ↔,OTP SK I.,10 : 6
9639,Törekvés SE ↔,Pestújhelyi SC III.,14 : 2
9721,Kispest SE II. ↔,MTK II.,10 : 6
9640,Pénzügyőr SE VIII. ↔,Budai XI SE III.-túróSCsusza,3 : 13
9638,Honvéd Zrínyi SE II. ↔,BKV Előre SC I.,10 : 6
9635,Belvárosi Asztalitenisz Egyesület ↔,2002 Római ASE,12 : 4
9641,Vármajori SE II. ↔,BVSC-Zugló Senior II.,10 : 6
9642,Pestújhelyi SC III. ↔,Pénzügyőr SE VIII.,4 : 12
9646,2002 Római ASE ↔,BKV Előre SC II.,10 : 6
9643,BKV Előre SC I. ↔,Törekvés SE,10 : 6
9647,Budai XI SE III.-túróSCsusza ↔,Vármajori SE II.,14 : 2
9645,BVSC-Zugló SI V. ↔,Kispest SE II.,10 : 6
9722,MTK II. ↔,ESMTK I.,12 : 4
9648,Belvárosi Asztalitenisz Egyesület ↔,BVSC-Zugló Senior II.,6 : 10
9644,OTP SK I. ↔,Honvéd Zrínyi SE II.,8 : 8
9651,ESMTK I. ↔,BVSC-Zugló SI V.,8 : 8
9655,BVSC-Zugló Senior II. ↔,Budai XI SE III.-túróSCsusza,6 : 10
9650,Kispest SE II. ↔,2002 Római ASE,11 : 5
9653,Pénzügyőr SE VIII. ↔,BKV Előre SC I.,8 : 8
