match_id,home_team,away_team,score
10089,Budai XI SE V.-Őrmező ↔,Budai XI SE IV.-Kontra Csoport,6 : 10
9978,KSI Senior-KFKI SK II. ↔,KSI SE VIII.-MIKI I.,7 : 9
9977,Shopsport SE ↔,KIWI SE,7 : 9
9975,Kispest SE III. ↔,Budai XI SE V.-Őrmező,8 : 8
9979,HCTC-Magyar-Kínai AK ↔,MTSE,4 : 12
10090,KSI SE VI. ↔,Lendület SE III.-PPKO,10 : 6
10085,MTSE ↔,KSI Senior-KFKI SK II.,4 : 12
10086,KSI SE VIII.-MIKI I. ↔,Shopsport SE,7 : 9
10091,HCTC-Magyar-Kínai AK ↔,Pénzügyőr IX.,7 : 9
10088,Sanitas-Budó SE III.-Autóklub ↔,Kispest SE III.,12 : 4
10084,PDSK III.-Mátyásföldi Sasok ↔,Igazságügyi SC,9 : 7
10087,KIWI SE ↔,MALÉV SC III.,6 : 10
