position,team,matches,wins,draws,losses,points
1.,Pestszentimrei PSE I.,28,26,1,1,53
2.,ESMTK II.,28,21,2,5,44
3.,BVSC-Zugló V.,28,20,2,6,42
4.,KSI SE IV.- MIKI I.,28,18,2,8,38
5.,OVIT SE II.,28,15,4,9,34
6.,HCTC-M-K AK II.-WASABI,28,17,0,11,34
7.,Budai XI SE III.,28,15,3,10,33
8.,HCTC-Magyar-Kínai AK I.,28,14,3,11,31
9.,KSI Senior-KFKI SK II.,28,11,4,13,26
10.,Multi Sport SE I.,28,10,3,15,23
11.,OTP SK II.,28,7,3,18,17
12.,Pénzügyőr SE VII.,28,7,3,18,16
13.,Pénzügyőr SE VI.,28,5,3,20,13
14.,Igazságügyi SC I.,28,6,0,22,12
15.,BVSC-Zugló Senior II.,28,1,1,26,0
16.,Szufla SE III.-Kerepes,0,0,0,0,0
