position,team,matches,wins,draws,losses,points
1.,High Life SE I.-Rossoneri,24,21,2,1,44
2.,ESMTK IV.,24,17,4,3,38
3.,Igazságügyi SC I.,24,19,0,5,38
4.,Pestszentimrei PSE II.,24,18,1,5,37
5.,Palotai Titánok SE I.,24,16,3,5,35
6.,KIWI SE,24,12,4,8,28
7.,Hidegkúti SC-Klebelsberg I.,24,11,5,8,27
8.,Budai XI. SE V.,24,10,4,10,24
9.,Törekvés SE,24,11,1,12,23
10.,Angyalföldi TTE III.,24,9,4,11,22
11.,GALAXIS VSE I.,24,8,0,16,16
12.,Pestújhelyi SC V.,24,6,1,17,13
13.,Sanitas-Budo SE IV.-Asia Center I.,24,5,2,17,12
14.,Ikarus BSE,24,5,2,17,12
15.,BPPK SE I.-túróSCsusza,24,4,2,18,10
16.,Budai XI SE VI.-Dunaholding,24,1,3,20,5
