position,team,matches,wins,draws,losses,points
1.,Kispest SE II.,28,25,2,1,52
2.,Budai XI SE III.,28,23,2,3,48
3.,OTP SK I.,28,19,4,5,42
4.,BKV Előre SC I.,28,18,4,6,40
5.,Szent Pál Akadémia-HSE I.,28,18,3,7,39
6.,KSI SE III.,28,14,2,12,30
7.,Pénzügyőr SE V.,28,14,1,13,29
8.,BVSC-Zugló V.-Senior II.,28,13,1,14,27
9.,ESMTK II.,28,9,5,14,23
10.,ABC Centerline II.,28,10,2,16,22
11.,KSI Senior-KÖZGÁZ SC és DSK,28,9,2,17,20
12.,High Life SE II.-WASABI,28,6,6,16,18
13.,Angyalföldi TTE I.,28,4,5,19,13
14.,MAFC III.,28,1,7,20,9
15.,ESMTK IV.,28,3,2,23,8
