position,team,matches,wins,draws,losses,points
1.,Sanitas-BUDO SE II.-Vármajor II.,30,27,2,1,56
2.,Kispest SE I.,30,18,8,4,44
3.,Pestszentimrei PSE II.,30,20,1,9,41
4.,MAVEX SE III.,30,17,4,8,38
5.,ABC Centerline I.,30,17,3,10,37
6.,Kőbánya SC I.,30,17,3,9,36
7.,Budai XI SE II.,30,13,7,10,33
8.,BEAC I.-PPKO,30,15,2,13,32
9.,BVSC-Zugló III.-Senior I.,30,12,6,12,30
10.,BVSC-Zugló II.,30,11,5,14,25
11.,MVM SE I.,30,11,2,17,24
12.,MAFC I.,30,9,3,18,21
13.,Honvéd Zrinyi SE I.,30,7,5,18,19
14.,Kispest SE II.,30,7,2,21,16
15.,Sanitas-BUDO SE III.,30,7,2,21,16
16.,MALÉV SC I.,30,2,3,25,7
