match_id,home_team,away_team,score
20616,Sanitas-BUDO SE II.-Vármajor II.  ↔,BVSC-Zugló II.,14 : 2
20619,MVM SE I. ↔,Kőbánya SC I.,11 : 5
20625,Kőbánya SC I. ↔,Honvéd Zrinyi SE I.,11 : 5
20624,MVM SE I. ↔,Sanitas-BUDO SE III.,10 : 6
20629,BVSC-Zugló III.-Senior I. ↔,MALÉV SC I.,8 : 8
20631,Budai XI SE II. ↔,MAVEX SE III.,6 : 10
20626,ABC Centerline I. ↔,Kispest SE II.,13 : 3
20628,BVSC-Zugló II. ↔,Pestszentimrei PSE II.,4 : 12
20627,BEAC I.-PPKO ↔,Sanitas-BUDO SE II.-Vármajor II.,4 : 12
20630,Kispest SE I. ↔,MAFC I.,14 : 2
