match_id,home_team,away_team,score
20918,High Life SE II.-WASABI ↔,BKV Előre SC I.,6 : 10
20945,ESMTK II. ↔,High Life SE II.-WASABI,15 : 1
20966,MAFC II. ↔,ABC Centerline II.,6 : 10
20975,KSI SE III. ↔,GALAXIS VSE I.,11 : 5
20980,ABC Centerline II. ↔,KSI Senior-KÖZGÁZ SC és DSK,11 : 5
20976,BVSC-Zugló IV.-Senior II. ↔,Pénzügyőr SE V.,6 : 10
20979,MAFC II. ↔,Budai XI SE IV.,1 : 15
20978,Angyalföldi TTE I. ↔,BKV Előre SC I.,4 : 12
20977,MAVEX SE IV.-Mátyásföldi Sasok ↔,Pestszentimrei PSE IV.,2 : 14
20974,High Life SE II.-WASABI ↔,Szent Pál Akadémia-HSE I.,2 : 14
